Date,Date,Close/Last,Volume,Open,High,Low,VWAP,VWMA_50,VWMA_100,VWMA_200,RSI,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3
2016-01-04,2016-01-04,28.31,4330439,27.04,28.46,27.01,27.926666666666666,,,,,,
2016-01-05,2016-01-05,28.77,3416646,28.59,29.01,28.06,28.613333333333333,,,,,,
2016-01-06,2016-01-06,28.37,3756411,28.23,28.74,27.44,28.18333333333333,,,,,,
2016-01-07,2016-01-07,28.45,2661821,28.12,28.77,27.74,28.319999999999993,,,,,,
2016-01-08,2016-01-08,28.37,2699229,28.7,28.79,28.04,28.400000000000002,,,,,,
2016-01-11,2016-01-11,29.38,3255523,28.33,29.55,27.99,28.973333333333333,,,,,,
2016-01-12,2016-01-12,27.88,8089329,28.95,29.22,26.305,27.801666666666666,,,,,,
2016-01-13,2016-01-13,26.94,2921115,27.71,27.815,26.48,27.078333333333333,,,,,,
2016-01-14,2016-01-14,25.58,4589441,27.42,27.42,25.18,26.060000000000002,,,,,,
2016-01-15,2016-01-15,25.64,3186477,25.06,25.935,24.85,25.474999999999998,,,,,,
2016-01-19,2016-01-19,25.51,2784490,25.96,25.98,25.05,25.51333333333334,,,,,,
2016-01-20,2016-01-20,25.19,2235487,25.21,25.45,24.33,24.99,,,,,,
2016-01-21,2016-01-21,25.29,2118343,25.19,25.94,25.15,25.459999999999997,,,,,,
2016-01-22,2016-01-22,25.67,1763577,25.73,26.03,25.43,25.709999999999997,,,,,,
2016-01-25,2016-01-25,25.06,1445196,25.6,25.965,24.905,25.310000000000002,,,,26.09825672034219,,
2016-01-26,2016-01-26,26.06,2769019,25.35,26.4801,25.14,25.89336666666667,,,,40.02998099514668,,
2016-01-27,2016-01-27,26.15,2002872,26.24,26.78,25.82,26.25,,,,41.106069324057465,,
2016-01-28,2016-01-28,25.71,1399348,26.49,26.61,25.67,25.996666666666666,,,,37.55785857410603,,
2016-01-29,2016-01-29,26.21,2317801,25.76,26.245,25.61,26.021666666666665,,,,43.52369999081317,,
2016-02-01,2016-02-01,26.81,2787257,26.2,26.86,25.85,26.506666666666664,,,,49.73045750092073,,
2016-02-02,2016-02-02,25.92,1840570,26.63,26.71,25.59,26.073333333333334,,,,42.30368412111728,,
2016-02-03,2016-02-03,26.17,2223449,26.11,26.28,24.75,25.733333333333334,,,,44.797537158598146,,
2016-02-04,2016-02-04,27.01,2000193,26.06,27.19,25.38,26.526666666666667,,,,52.263670731925714,,
2016-02-05,2016-02-05,26.83,1545769,27.01,27.18,26.43,26.813333333333333,,,,50.681813267397025,,
2016-02-08,2016-02-08,27.89,2944800,26.55,27.96,26.5,27.45,,,,58.623906289991055,,
2016-02-09,2016-02-09,27.12,3286843,27.65,27.88,26.71,27.236666666666668,,,,52.06484093828674,,
2016-02-10,2016-02-10,26.65,1369945,27.2,27.29,26.62,26.853333333333335,,,,48.4980068291804,,
2016-02-11,2016-02-11,26.67,1479604,26.45,26.95,26.1379,26.585966666666668,,,,48.65918933679913,,
2016-02-12,2016-02-12,26.98,2581768,26.77,27.38,26.3,26.886666666666667,,,,51.208118790260706,,
2016-02-16,2016-02-16,28.0,1436048,27.33,28.05,26.89,27.64666666666666,,,,58.507525907353205,77.8694997786098,
2016-02-17,2016-02-17,28.74,1672352,28.22,29.0,27.96,28.566666666666666,,,,62.84980159050167,88.08166267674959,
2016-02-18,2016-02-18,29.24,2762033,28.8,29.8,28.67,29.236666666666665,,,,65.47861206911516,99.81584841446062,88.58900362327334
2016-02-19,2016-02-19,28.19,2132496,29.22,29.22,27.78,28.396666666666665,,,,56.44560679377438,87.00750325867982,91.63500478329668
2016-02-22,2016-02-22,29.21,1680752,28.53,29.63,28.43,29.090000000000003,,,,61.93864478194649,81.91584084501164,89.57973083938403
2016-02-23,2016-02-23,29.44,1264704,29.6,29.86,28.98,29.426666666666666,,,,63.06967981094461,78.03317312650809,82.31883907673318
2016-02-24,2016-02-24,29.89,1604469,29.42,29.9,28.26,29.349999999999998,,,,65.24573203619573,90.56852080545418,83.50584492565797
2016-02-25,2016-02-25,29.96,1528884,29.6,30.06,29.31,29.776666666666667,,,,65.58543453469859,95.66018321912236,88.08729238369487
2016-02-26,2016-02-26,30.54,1693958,30.11,30.61,29.93,30.360000000000003,,,,68.3462091974793,99.54285093762591,95.25718498740082
2016-02-29,2016-02-29,30.82,2350302,30.44,31.09,30.02,30.643333333333334,,,,69.61352181649964,100.0,98.40101138558276
2016-03-01,2016-03-01,30.94,2130071,31.05,31.24,30.49,30.89,,,,70.1648300090255,100.0,99.84761697920864
2016-03-02,2016-03-02,31.29,4113131,30.88,31.68,29.16,30.709999999999997,,,,71.77341460015379,100.0,100.0
2016-03-03,2016-03-03,32.71,3548992,31.36,32.95,31.28,32.31333333333333,,,,77.15501300679738,100.0,100.0
2016-03-04,2016-03-04,31.23,2530698,32.27,32.56,31.19,31.660000000000004,,,,63.55444808651107,78.10887674198715,92.70295891399572
2016-03-07,2016-03-07,30.74,2830326,31.03,31.7,30.38,30.939999999999998,,,,59.79620009922893,50.16857314433588,76.09248329544101
2016-03-08,2016-03-08,30.12,2328506,30.89,30.99,29.81,30.306666666666665,,,,55.337205004385524,16.83523981100254,48.37089656577519
2016-03-09,2016-03-09,31.29,2594616,30.38,31.57,30.16,31.00666666666667,,,,61.214901565942775,14.372997782743278,27.12560357936057
2016-03-10,2016-03-10,30.44,2049508,31.33,31.33,29.94,30.569999999999997,,,,55.50043855203691,9.229356906585732,13.479198166777183
2016-03-11,2016-03-11,30.75,1619257,30.54,31.09,30.44,30.76,,,,57.07428815221456,11.883279408236689,11.828544699188567
2016-03-14,2016-03-14,31.66,1730233,30.76,32.03,30.72,31.47,,,,61.39106591478473,12.152423996948324,11.088353437256915
2016-03-15,2016-03-15,30.78,2027864,31.51,31.73,29.97,30.826666666666668,28.2723596476949,,,55.571140025828186,12.26044198815908,12.098715131114696
2016-03-16,2016-03-16,31.91,1562208,31.15,32.005,30.82,31.578333333333333,28.317358699695838,,,60.72055695299302,17.831225879274367,14.081363954793924
2016-03-17,2016-03-17,31.36,3050237,32.18,32.22,31.01,31.53,28.380600166126285,,,57.24292488084322,11.493679605938146,13.861782491123863
2016-03-18,2016-03-18,30.83,5542390,31.58,32.29,30.79,31.30333333333333,28.490327644491018,,,54.0315348558025,11.13627275520288,13.487059413471798
2016-03-21,2016-03-21,30.85,3357666,30.92,31.66,30.05,30.853333333333335,28.554684044319394,,,54.13609857989086,3.062298767261391,8.564083709467473
2016-03-22,2016-03-22,30.18,2174962,30.75,30.79,30.01,30.326666666666664,28.587145586291218,,,50.03042234535323,0.15073240482475628,4.783101309096343
2016-03-23,2016-03-23,30.37,1968274,30.35,30.81,30.05,30.41,28.594692208185194,,,51.16157921778548,2.938750544003994,2.0505939053633804
2016-03-24,2016-03-24,30.27,4406456,30.34,30.5,29.61,30.126666666666665,28.705046211562472,,,50.51345932202964,4.205299867760573,2.4315942721964414
2016-03-28,2016-03-28,30.09,8247151,28.95,30.95,28.4,29.813333333333333,28.838083050398374,,,49.302750386176555,4.205299867760573,3.7831167598417133
2016-03-29,2016-03-29,31.51,3802489,30.18,31.93,30.0,31.146666666666665,29.040893062911852,,,57.87956473426216,25.067707706150994,11.159435813890715
2016-03-30,2016-03-30,31.76,2522094,31.57,31.97,31.0,31.576666666666668,29.184566241595512,,,59.18862366969791,50.91056066472678,26.727856079546115
